internal_id,string_external_id,abundance
4443455,9606.ENSP00000359098,307
4433502,9606.ENSP00000230431,306
4451141,9606.ENSP00000475750,306
4433442,9606.ENSP00000228945,305
4439570,9606.ENSP00000322991,305
4432704,9606.ENSP00000168216,304
4435831,9606.ENSP00000268613,303
4446103,9606.ENSP00000376793,303
4433026,9606.ENSP00000217515,303
4435512,9606.ENSP00000264908,303
4443785,9606.ENSP00000360687,303
4441426,9606.ENSP00000344456,302
4451429,9606.ENSP00000479861,302
4433656,9606.ENSP00000235835,302
4437544,9606.ENSP00000299166,301
4445189,9606.ENSP00000368605,301
4449371,9606.ENSP00000426638,300
4444439,9606.ENSP00000363827,300
4434797,9606.ENSP00000260665,299
4440387,9606.ENSP00000332706,299
4435352,9606.ENSP00000264001,299
4433537,9606.ENSP00000231487,299
4437742,9606.ENSP00000301286,298
4448625,9606.ENSP00000411825,298
4446531,9606.ENSP00000379616,298
4444137,9606.ENSP00000362329,297
4445991,9606.ENSP00000375978,296
4435028,9606.ENSP00000262193,296
4447873,9606.ENSP00000394936,296
4450009,9606.ENSP00000441875,295
4433281,9606.ENSP00000223364,294
4439288,9606.ENSP00000319531,294
4450801,9606.ENSP00000466134,293
4433900,9606.ENSP00000244534,292
4445386,9606.ENSP00000369757,292
4443421,9606.ENSP00000358921,292
4445998,9606.ENSP00000376056,292
4436075,9606.ENSP00000273359,291
4435972,9606.ENSP00000271308,291
4450670,9606.ENSP00000462435,291
4433675,9606.ENSP00000237014,291
4443502,9606.ENSP00000359345,291
4436327,9606.ENSP00000279022,290
4449713,9606.ENSP00000434516,290
4439803,9606.ENSP00000325905,289
4440923,9606.ENSP00000339095,288
4437177,9606.ENSP00000295688,288
4432997,9606.ENSP00000217121,288
4435953,9606.ENSP00000270625,288
4446030,9606.ENSP00000376297,287
4435645,9606.ENSP00000265753,286
4442348,9606.ENSP00000353375,286
4436203,9606.ENSP00000276062,286
4434392,9606.ENSP00000254878,286
4442577,9606.ENSP00000354947,285
4444232,9606.ENSP00000362744,285
4451621,9606.ENSP00000481878,285
4439411,9606.ENSP00000321070,285
4448961,9606.ENSP00000418397,285
4448147,9606.ENSP00000400906,283
4433199,9606.ENSP00000222005,283
4439772,9606.ENSP00000325548,283
4446231,9606.ENSP00000377696,283
4443464,9606.ENSP00000359151,282
4440360,9606.ENSP00000332449,282
4432913,9606.ENSP00000216121,281
4433080,9606.ENSP00000219313,281
4433021,9606.ENSP00000217426,280
4439122,9606.ENSP00000317334,280
4432975,9606.ENSP00000216605,278
4449856,9606.ENSP00000438248,278
4448024,9606.ENSP00000398495,278
4446354,9606.ENSP00000378408,278
4449736,9606.ENSP00000435289,278
